schema_version,run_id,condition,iteration,direction,attempt,rc,counter_cycles,duration_ns,request_elapsed_ns
1,run-004,idle,172,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,173,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,173,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,174,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,174,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,175,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,175,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,176,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,176,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,177,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,177,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,178,DYN-to-RTO,0,0,6699,279125,279125
1,run-004,idle,178,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,179,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,179,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,180,DYN-to-RTO,0,0,6748,281166,281166
1,run-004,idle,180,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,181,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,181,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,182,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,182,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,183,DYN-to-RTO,0,0,6741,280875,281166
1,run-004,idle,183,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,184,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,184,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,185,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,185,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,186,DYN-to-RTO,0,0,6671,277958,277958
